SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.3990E+003,3.3590E+003,-3.1074E-001,-6.4312E-001,4.8081E-003,2.7347E-003,0.0000E+000,4.0000E+000,7.1232E-003,4.8420E-004,-4.6849E-004,-3.7109E-004
1,2.3990E+003,3.3440E+003,-3.0135E-001,-6.3256E-001,5.2227E-003,2.8121E-003,0.0000E+000,4.0000E+000,7.4489E-003,2.3009E-004,-3.1008E-004,-5.5244E-004
2,2.3990E+003,3.3290E+003,-2.8547E-001,-6.3236E-001,5.8564E-003,2.8338E-003,0.0000E+000,4.0000E+000,7.9390E-003,-4.0057E-004,8.2326E-005,-6.1443E-004
3,2.3990E+003,3.3140E+003,-2.7576E-001,-6.3372E-001,6.5489E-003,3.3569E-003,0.0000E+000,4.0000E+000,8.8770E-003,-7.5388E-004,3.6338E-004,-3.7944E-004
4,2.4140E+003,3.2840E+003,-2.9132E-001,-6.5508E-001,5.9177E-003,4.6981E-003,0.0000E+000,4.0000E+000,7.9573E-003,4.1219E-004,-2.3516E-004,-6.5942E-005
5,2.4140E+003,3.2990E+003,-2.9467E-001,-6.5448E-001,6.0353E-003,9.0101E-003,0.0000E+000,4.0000E+000,8.3456E-003,-3.2833E-004,2.5322E-004,-1.6142E-004
6,2.4140E+003,3.3140E+003,-2.9140E-001,-6.4547E-001,6.2711E-003,3.4250E-003,0.0000E+000,4.0000E+000,8.6497E-003,-2.8918E-004,3.0868E-004,-1.8934E-004
7,2.4140E+003,3.3290E+003,-2.8975E-001,-6.4154E-001,5.7962E-003,2.9718E-003,0.0000E+000,4.0000E+000,7.9031E-003,-1.3477E-004,1.3783E-004,-3.9594E-004
8,2.4140E+003,3.3440E+003,-2.9946E-001,-6.4170E-001,5.4927E-003,3.1264E-003,0.0000E+000,4.0000E+000,7.6144E-003,2.6738E-004,-1.9896E-004,-3.7123E-004
9,2.4140E+003,3.3590E+003,-2.9800E-001,-6.4939E-001,5.4648E-003,2.9078E-003,0.0000E+000,4.0000E+000,7.5893E-003,3.4466E-004,-4.4997E-004,-2.7449E-004
10,2.4140E+003,3.3740E+003,-3.0510E-001,-6.5399E-001,5.5122E-003,2.2080E-003,0.0000E+000,4.0000E+000,7.8043E-003,2.1287E-004,-7.2658E-005,-6.2559E-005
11,2.4140E+003,3.3890E+003,-2.9582E-001,-6.4910E-001,5.3794E-003,1.6156E-003,0.0000E+000,4.0000E+000,7.5203E-003,-3.0120E-004,2.8543E-004,3.4298E-004
12,2.4290E+003,3.4340E+003,-2.8522E-001,-6.4244E-001,5.6162E-003,3.3369E-003,0.0000E+000,4.0000E+000,7.7659E-003,-7.2244E-004,-2.1928E-004,7.0478E-005
13,2.4290E+003,3.4190E+003,-2.7936E-001,-6.3986E-001,5.4777E-003,3.0607E-003,0.0000E+000,4.0000E+000,7.4040E-003,-5.8133E-004,-5.5029E-005,2.6398E-004
14,2.4290E+003,3.4040E+003,-2.8993E-001,-6.4449E-001,5.3168E-003,2.5829E-003,0.0000E+000,4.0000E+000,7.2916E-003,-1.6369E-004,9.8119E-005,5.6623E-004
15,2.4290E+003,3.3890E+003,-3.0238E-001,-6.4812E-001,5.2833E-003,1.9619E-003,0.0000E+000,4.0000E+000,7.2748E-003,3.7395E-005,2.3730E-004,4.9883E-004
16,2.4290E+003,3.3740E+003,-3.0862E-001,-6.5274E-001,5.5754E-003,2.2673E-003,0.0000E+000,4.0000E+000,7.6932E-003,1.2375E-004,3.8605E-005,1.4425E-004
17,2.4290E+003,3.3590E+003,-2.9338E-001,-6.4657E-001,5.5533E-003,3.2619E-003,0.0000E+000,4.0000E+000,7.5074E-003,2.3113E-004,-2.5805E-004,1.3833E-006
18,2.4290E+003,3.3440E+003,-2.9236E-001,-6.4187E-001,5.5873E-003,3.1882E-003,0.0000E+000,4.0000E+000,7.6242E-003,1.6770E-004,-4.4873E-005,5.9923E-006
19,2.4290E+003,3.3290E+003,-2.8776E-001,-6.4727E-001,5.8236E-003,3.7246E-003,0.0000E+000,4.0000E+000,7.9452E-003,-3.7257E-005,2.2808E-004,1.9803E-005
20,2.4290E+003,3.3140E+003,-2.9459E-001,-6.4934E-001,6.2557E-003,5.3224E-003,0.0000E+000,4.0000E+000,8.7366E-003,-9.0643E-005,2.5325E-004,8.6347E-005
21,2.4290E+003,3.2990E+003,-2.8995E-001,-6.5233E-001,6.4607E-003,1.0893E-002,0.0000E+000,4.0000E+000,9.0024E-003,-3.0574E-005,1.3753E-004,-7.8720E-005
22,2.4290E+003,3.2840E+003,-2.8566E-001,-6.4907E-001,6.2382E-003,5.0803E-003,0.0000E+000,4.0000E+000,8.4970E-003,2.3598E-004,-1.0896E-004,-2.6941E-004
23,2.4290E+003,3.2690E+003,-2.7465E-001,-6.4321E-001,5.9347E-003,2.2951E-003,0.0000E+000,4.0000E+000,7.8351E-003,4.0895E-004,-3.1758E-004,-2.4741E-004
24,2.4290E+003,3.2540E+003,-2.7632E-001,-6.3914E-001,5.5770E-003,3.2756E-003,0.0000E+000,4.0000E+000,7.3303E-003,5.8528E-004,-2.8957E-004,2.6331E-005
25,2.4440E+003,3.2240E+003,-3.0551E-001,-6.5916E-001,5.5119E-003,4.6461E-003,0.0000E+000,4.0000E+000,8.1276E-003,3.6336E-004,8.4619E-004,6.7181E-004
26,2.4440E+003,3.2390E+003,-2.7941E-001,-6.4024E-001,5.6306E-003,2.4927E-003,0.0000E+000,4.0000E+000,7.6412E-003,3.9093E-004,3.1721E-004,5.5782E-004
27,2.4440E+003,3.2540E+003,-2.6825E-001,-6.4618E-001,5.7076E-003,1.9431E-003,0.0000E+000,4.0000E+000,7.4896E-003,4.5287E-004,-2.3042E-004,1.9863E-004
28,2.4440E+003,3.2690E+003,-2.6289E-001,-6.4907E-001,6.1134E-003,1.3392E-003,0.0000E+000,4.0000E+000,8.0487E-003,4.6181E-004,-1.3698E-004,-2.8657E-004
