SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.3990E+003,3.3590E+003,-8.7030E+000,8.2630E+001,5.9351E-003,2.1745E-001,0.0000E+000,4.0000E+000,8.5068E-003,-1.5303E-002,-1.3103E-002,1.0841E-002
1,2.3990E+003,3.3440E+003,-9.3465E+000,8.2954E+001,6.6997E-003,1.8190E-001,0.0000E+000,4.0000E+000,9.2331E-003,-2.7823E-002,-9.6958E-003,6.0744E-003
2,2.3990E+003,3.3290E+003,-9.5920E+000,8.2868E+001,7.5182E-003,1.4520E-001,0.0000E+000,4.0000E+000,1.0289E-002,-4.5332E-002,9.8422E-003,-8.4105E-004
3,2.3990E+003,3.3140E+003,-9.6414E+000,8.2516E+001,7.9558E-003,1.4064E-001,0.0000E+000,4.0000E+000,1.0728E-002,-5.6037E-002,1.5565E-002,-4.9685E-003
4,2.4140E+003,3.2840E+003,-1.0831E+001,8.1019E+001,7.2828E-003,2.0339E-001,0.0000E+000,4.0000E+000,9.4783E-003,-6.3765E-003,4.3665E-002,-8.8558E-003
5,2.4140E+003,3.2990E+003,-1.0597E+001,8.2135E+001,7.6184E-003,2.2749E-001,0.0000E+000,4.0000E+000,1.0220E-002,-2.7417E-002,3.5541E-002,-1.0806E-002
6,2.4140E+003,3.3140E+003,-1.0579E+001,8.2376E+001,7.8150E-003,1.2282E-001,0.0000E+000,4.0000E+000,1.0368E-002,-3.0617E-002,1.5913E-002,-1.0913E-002
7,2.4140E+003,3.3290E+003,-1.0406E+001,8.2537E+001,7.1559E-003,2.0124E-001,0.0000E+000,4.0000E+000,9.6915E-003,-2.7870E-002,1.1204E-002,-3.9337E-003
8,2.4140E+003,3.3440E+003,-9.6932E+000,8.2514E+001,6.7664E-003,2.6712E-001,0.0000E+000,4.0000E+000,9.2088E-003,-2.1806E-002,-7.6626E-003,5.5395E-003
9,2.4140E+003,3.3590E+003,-8.8307E+000,8.2140E+001,6.6198E-003,2.4682E-001,0.0000E+000,4.0000E+000,9.1697E-003,-2.2990E-002,-1.1227E-002,6.7534E-003
10,2.4140E+003,3.3740E+003,-8.1337E+000,8.2133E+001,6.5535E-003,1.6897E-001,0.0000E+000,4.0000E+000,8.7550E-003,-2.7196E-002,-8.5198E-003,-3.7358E-003
11,2.4140E+003,3.3890E+003,3.6415E+000,3.2074E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
12,2.4290E+003,3.4340E+003,-5.9545E+000,8.0820E+001,6.2221E-003,2.0068E-001,0.0000E+000,4.0000E+000,8.5514E-003,4.3451E-003,-1.0828E-002,2.5063E-002
13,2.4290E+003,3.4190E+003,-7.2569E+000,8.1199E+001,6.0669E-003,1.8238E-001,0.0000E+000,4.0000E+000,8.2361E-003,1.3660E-002,-2.8250E-002,1.8732E-002
14,2.4290E+003,3.4040E+003,-8.3864E+000,8.1497E+001,6.1987E-003,1.7263E-001,0.0000E+000,4.0000E+000,8.4123E-003,2.8097E-002,-1.3195E-002,1.5542E-002
15,2.4290E+003,3.3890E+003,-8.9884E+000,8.1566E+001,6.3121E-003,9.9811E-002,0.0000E+000,4.0000E+000,8.5534E-003,-4.7490E-003,-1.9769E-003,-5.6796E-003
16,2.4290E+003,3.3740E+003,-8.9908E+000,8.1712E+001,6.5849E-003,1.3702E-001,0.0000E+000,4.0000E+000,8.9328E-003,-1.2398E-002,-1.5269E-003,-8.6935E-003
17,2.4290E+003,3.3590E+003,-9.3209E+000,8.1890E+001,6.4786E-003,2.2702E-001,0.0000E+000,4.0000E+000,9.0074E-003,-8.1094E-003,-6.1985E-003,-1.7383E-003
18,2.4290E+003,3.3440E+003,-9.8696E+000,8.1984E+001,6.3501E-003,2.3063E-001,0.0000E+000,4.0000E+000,8.7504E-003,2.0658E-003,-5.6989E-003,-1.5097E-003
19,2.4290E+003,3.3290E+003,-1.0473E+001,8.2020E+001,6.5122E-003,2.2709E-001,0.0000E+000,4.0000E+000,8.8398E-003,5.9274E-003,1.1467E-002,-9.0780E-003
20,2.4290E+003,3.3140E+003,-1.0825E+001,8.1582E+001,7.1624E-003,1.6393E-001,0.0000E+000,4.0000E+000,9.5132E-003,1.0560E-003,1.4509E-002,-1.8492E-002
21,2.4290E+003,3.2990E+003,-1.0775E+001,8.1433E+001,7.6723E-003,2.8500E-001,0.0000E+000,4.0000E+000,1.0158E-002,-3.7134E-003,3.1572E-002,-1.9293E-002
22,2.4290E+003,3.2840E+003,-1.0834E+001,8.0670E+001,7.3861E-003,1.6215E-001,0.0000E+000,4.0000E+000,9.6393E-003,-4.8524E-003,3.5898E-002,-1.2110E-002
23,2.4290E+003,3.2690E+003,-1.1107E+001,8.0390E+001,6.7763E-003,1.2881E-001,0.0000E+000,4.0000E+000,8.9408E-003,-8.0298E-004,1.5559E-002,-1.7618E-003
24,2.4290E+003,3.2540E+003,-1.1480E+001,7.9897E+001,6.7365E-003,1.8554E-001,0.0000E+000,4.0000E+000,9.0119E-003,-3.7291E-003,7.7685E-003,2.0205E-002
25,2.4440E+003,3.2240E+003,-1.3306E+001,7.9426E+001,6.5174E-003,3.0256E-001,0.0000E+000,4.0000E+000,8.9684E-003,5.7426E-003,5.1715E-002,1.4635E-002
26,2.4440E+003,3.2390E+003,-1.2557E+001,8.0009E+001,6.3786E-003,1.4059E-001,0.0000E+000,4.0000E+000,8.6564E-003,-1.1764E-002,1.7306E-002,2.1788E-002
27,2.4440E+003,3.2540E+003,-1.1415E+001,8.0081E+001,6.6224E-003,1.2108E-001,0.0000E+000,4.0000E+000,8.6757E-003,-1.5793E-002,3.8147E-003,1.2072E-002
28,2.4440E+003,3.2690E+003,-1.1077E+001,8.0016E+001,7.0077E-003,5.7469E-002,0.0000E+000,4.0000E+000,9.1565E-003,-1.6213E-002,1.0152E-002,5.5617E-004
29,2.4440E+003,3.2840E+003,-1.0950E+001,8.0137E+001,7.3570E-003,1.0601E-001,0.0000E+000,4.0000E+000,9.6903E-003,-8.7014E-003,2.4970E-002,-7.9041E-003
30,2.4440E+003,3.2990E+003,-1.0847E+001,8.0800E+001,7.6408E-003,1.5499E-001,0.0000E+000,4.0000E+000,1.0201E-002,3.9763E-003,1.9812E-002,-1.3251E-002
31,2.4440E+003,3.3140E+003,-1.0630E+001,8.0665E+001,7.1669E-003,1.8833E-001,0.0000E+000,4.0000E+000,9.5321E-003,1.5325E-002,9.9530E-003,-1.5730E-002
32,2.4440E+003,3.3290E+003,-1.0121E+001,8.1099E+001,6.5614E-003,2.7412E-001,0.0000E+000,4.0000E+000,8.8942E-003,1.9807E-002,1.4235E-002,-1.1890E-002
33,2.4440E+003,3.3440E+003,-9.5100E+000,8.1104E+001,6.1920E-003,2.6673E-001,0.0000E+000,4.0000E+000,8.5462E-003,1.6853E-002,-1.5578E-003,-1.0970E-002
34,2.4440E+003,3.3590E+003,-9.1994E+000,8.1038E+001,6.4695E-003,2.3985E-001,0.0000E+000,4.0000E+000,8.9453E-003,1.8142E-002,-3.9372E-003,-1.0625E-002
35,2.4440E+003,3.3740E+003,-8.7499E+000,8.1138E+001,6.7248E-003,1.7122E-001,0.0000E+000,4.0000E+000,9.2974E-003,2.4573E-002,-8.6837E-004,-1.3672E-002
36,2.4440E+003,3.3890E+003,-8.5351E+000,8.1208E+001,6.4717E-003,1.9070E-001,0.0000E+000,4.0000E+000,9.0736E-003,3.1435E-002,2.2928E-004,-7.7001E-003
37,2.4440E+003,3.4040E+003,-7.8030E+000,8.1273E+001,5.9793E-003,2.2439E-001,0.0000E+000,4.0000E+000,8.6152E-003,2.5534E-002,-1.3802E-002,1.7369E-003
38,2.4440E+003,3.4190E+003,-7.0593E+000,8.0692E+001,5.9454E-003,2.1392E-001,0.0000E+000,4.0000E+000,8.4055E-003,1.7464E-002,-3.0104E-002,1.0425E-002
39,2.4440E+003,3.4340E+003,-6.1484E+000,8.0086E+001,5.5990E-003,1.7306E-001,0.0000E+000,4.0000E+000,7.9784E-003,8.8911E-003,-1.0215E-002,1.8372E-002
40,2.4440E+003,3.4490E+003,-4.5396E+000,8.0337E+001,5.8226E-003,1.9976E-001,0.0000E+000,4.0000E+000,7.9628E-003,1.8348E-002,3.1696E-002,2.5055E-002
41,2.4440E+003,3.4640E+003,-2.8691E+000,8.0964E+001,5.6916E-003,2.6766E-001,0.0000E+000,4.0000E+000,7.7262E-003,4.0302E-002,4.6498E-002,2.0321E-003
42,2.4590E+003,3.4940E+003,-1.4709E+000,8.0792E+001,6.6228E-003,8.2518E-002,0.0000E+000,4.0000E+000,9.2707E-003,-6.0074E-002,-2.5437E-002,-3.7874E-002
43,2.4590E+003,3.4790E+003,-1.6214E+000,8.0494E+001,6.8651E-003,1.7496E-001,0.0000E+000,4.0000E+000,9.4435E-003,-1.3933E-002,3.2494E-002,-1.3477E-002
44,2.4590E+003,3.4640E+003,-2.3164E+000,7.9847E+001,6.2836E-003,3.0225E-001,0.0000E+000,4.0000E+000,8.7470E-003,-4.8003E-003,3.2334E-002,5.6401E-003
45,2.4590E+003,3.4490E+003,4.6074E+000,4.0441E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
46,2.4590E+003,3.4340E+003,-5.6535E+000,7.9243E+001,6.1697E-003,2.7647E-001,0.0000E+000,4.0000E+000,8.8439E-003,2.2435E-002,-1.0581E-002,2.1078E-002
47,2.4590E+003,3.4190E+003,-7.1010E+000,7.9780E+001,6.2136E-003,2.7822E-001,0.0000E+000,4.0000E+000,8.8110E-003,2.4929E-002,-3.1385E-002,9.6107E-003
48,2.4590E+003,3.4040E+003,-7.3799E+000,8.0325E+001,6.0599E-003,2.1780E-001,0.0000E+000,4.0000E+000,8.7787E-003,4.2368E-002,-7.8815E-003,-1.3574E-002
49,2.4590E+003,3.3890E+003,-7.9645E+000,8.0241E+001,6.5423E-003,2.1030E-001,0.0000E+000,4.0000E+000,9.2879E-003,4.7511E-002,4.0595E-003,-1.6095E-002
50,2.4590E+003,3.3740E+003,-8.3194E+000,8.0258E+001,6.6173E-003,1.7424E-001,0.0000E+000,4.0000E+000,9.2478E-003,4.0560E-002,7.8546E-004,-1.1840E-002
51,2.4590E+003,3.3590E+003,-8.9404E+000,8.0187E+001,6.7780E-003,2.0462E-001,0.0000E+000,4.0000E+000,9.3837E-003,2.2841E-002,-5.6244E-003,-8.9336E-003
52,2.4590E+003,3.3440E+003,-9.4253E+000,8.0418E+001,6.7109E-003,1.8692E-001,0.0000E+000,4.0000E+000,9.1062E-003,1.0954E-002,-1.1055E-003,-6.9908E-003
53,2.4590E+003,3.3290E+003,-9.9355E+000,8.0188E+001,7.1777E-003,1.7030E-001,0.0000E+000,4.0000E+000,9.7378E-003,2.3750E-003,1.3740E-002,-6.7431E-003
54,2.4590E+003,3.3140E+003,-1.0175E+001,8.0030E+001,7.1945E-003,1.4334E-001,0.0000E+000,4.0000E+000,9.6135E-003,-5.8730E-004,4.9678E-003,-1.2444E-002
55,2.4590E+003,3.2990E+003,-1.0711E+001,8.0201E+001,7.3047E-003,1.3527E-001,0.0000E+000,4.0000E+000,1.0053E-002,-4.0888E-003,1.0623E-002,-1.0829E-002
56,2.4590E+003,3.2840E+003,-1.1269E+001,7.9715E+001,6.8956E-003,1.5296E-001,0.0000E+000,4.0000E+000,9.2119E-003,-1.2383E-002,1.8538E-002,-8.1943E-003
57,2.4590E+003,3.2690E+003,-1.1566E+001,7.9819E+001,6.8411E-003,9.1810E-002,0.0000E+000,4.0000E+000,9.0015E-003,-2.5543E-002,3.7217E-003,-3.2038E-003
58,2.4590E+003,3.2540E+003,-1.2075E+001,7.9656E+001,6.9564E-003,1.0331E-001,0.0000E+000,4.0000E+000,9.0402E-003,-2.1233E-002,-3.1324E-003,-9.5578E-004
59,2.4590E+003,3.2390E+003,-1.2460E+001,7.9819E+001,6.8413E-003,1.5688E-001,0.0000E+000,4.0000E+000,9.1914E-003,-9.4141E-003,1.5381E-002,5.5693E-003
60,2.4590E+003,3.2240E+003,-1.3291E+001,7.9186E+001,6.8430E-003,3.3289E-001,0.0000E+000,4.0000E+000,9.5322E-003,5.1742E-003,5.0537E-002,1.0532E-002
61,2.4590E+003,3.2090E+003,-1.3854E+001,7.8259E+001,6.5688E-003,2.3915E-001,0.0000E+000,4.0000E+000,9.1323E-003,-6.8332E-003,4.6209E-002,1.9063E-003
62,2.4590E+003,3.1940E+003,-1.3718E+001,7.7862E+001,6.1829E-003,1.3795E-001,0.0000E+000,4.0000E+000,8.6026E-003,-3.2098E-002,8.7011E-004,-2.1304E-003
63,2.4740E+003,3.1640E+003,-1.5070E+001,7.8132E+001,6.7211E-003,1.5228E-001,0.0000E+000,4.0000E+000,9.3380E-003,-2.1682E-002,-1.6081E-002,-2.4424E-003
64,2.4740E+003,3.1790E+003,-1.4697E+001,7.7941E+001,6.0918E-003,1.6251E-001,0.0000E+000,4.0000E+000,8.3336E-003,-3.2361E-002,-1.8994E-002,-1.0360E-004
65,2.4740E+003,3.1940E+003,-1.4677E+001,7.7420E+001,6.1592E-003,1.9351E-001,0.0000E+000,4.0000E+000,8.8655E-003,-2.1389E-002,9.3272E-004,7.0463E-003
66,2.4740E+003,3.2090E+003,-1.3902E+001,7.7769E+001,6.4284E-003,2.6446E-001,0.0000E+000,4.0000E+000,9.2528E-003,-1.1915E-002,4.3683E-002,9.0413E-003
67,2.4740E+003,3.2240E+003,-1.3077E+001,7.8822E+001,6.8957E-003,1.6479E-001,0.0000E+000,4.0000E+000,9.8436E-003,-2.0467E-003,4.3208E-002,6.8330E-003
68,2.4740E+003,3.2390E+003,-1.2446E+001,7.9223E+001,7.2852E-003,1.4553E-001,0.0000E+000,4.0000E+000,9.9566E-003,-6.6258E-003,1.0513E-002,-6.5145E-003
69,2.4740E+003,3.2540E+003,-1.2640E+001,7.9002E+001,7.3559E-003,9.9296E-002,0.0000E+000,4.0000E+000,9.7365E-003,-1.2690E-002,-2.8698E-003,-9.4106E-003
70,2.4740E+003,3.2690E+003,-1.1945E+001,7.8887E+001,6.8669E-003,1.0579E-001,0.0000E+000,4.0000E+000,9.2615E-003,-1.3214E-002,3.8999E-003,-1.2726E-003
71,2.4740E+003,3.2840E+003,-1.1243E+001,7.9182E+001,6.9984E-003,1.5315E-001,0.0000E+000,4.0000E+000,9.3663E-003,-1.2113E-002,1.0152E-002,-8.0163E-003
72,2.4740E+003,3.2990E+003,-1.0878E+001,7.9349E+001,7.0519E-003,1.0793E-001,0.0000E+000,4.0000E+000,9.6853E-003,-1.7022E-002,2.7376E-003,-1.2777E-002
73,2.4740E+003,3.3140E+003,-1.0756E+001,7.9270E+001,7.1664E-003,1.5869E-001,0.0000E+000,4.0000E+000,9.5407E-003,-1.8261E-002,3.3736E-003,-1.3758E-002
74,2.4740E+003,3.3290E+003,-1.0128E+001,7.9480E+001,7.1863E-003,1.8858E-001,0.0000E+000,4.0000E+000,9.7086E-003,-1.2201E-002,1.3237E-002,-4.6077E-003
75,2.4740E+003,3.3440E+003,-9.2759E+000,7.9609E+001,6.8386E-003,2.0202E-001,0.0000E+000,4.0000E+000,9.2931E-003,3.1253E-003,1.0894E-006,-8.7939E-004
76,2.4740E+003,3.3590E+003,-8.5710E+000,7.9377E+001,6.6961E-003,1.7962E-001,0.0000E+000,4.0000E+000,9.2602E-003,1.0861E-002,-9.7370E-003,-4.7134E-003
77,2.4740E+003,3.3740E+003,-7.7228E+000,7.9162E+001,6.7461E-003,1.9323E-001,0.0000E+000,4.0000E+000,9.3593E-003,2.7690E-002,-3.9627E-003,-1.5335E-003
78,2.4740E+003,3.3890E+003,-6.7843E+000,7.9158E+001,6.7819E-003,1.9918E-001,0.0000E+000,4.0000E+000,9.6060E-003,4.1932E-002,-2.2141E-003,-6.2936E-003
79,2.4740E+003,3.4040E+003,-1.4105E+000,5.6513E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
80,2.4740E+003,3.4190E+003,-6.3338E+000,7.9379E+001,6.2525E-003,2.5046E-001,0.0000E+000,4.0000E+000,9.0171E-003,4.9967E-002,-3.8874E-003,2.2382E-003
81,2.4740E+003,3.4340E+003,-5.3573E+000,7.9097E+001,5.9681E-003,2.4455E-001,0.0000E+000,4.0000E+000,8.4468E-003,4.1821E-002,-1.0994E-002,2.1754E-002
82,2.4740E+003,3.4490E+003,-4.1390E+000,7.8807E+001,6.3656E-003,2.8048E-001,0.0000E+000,4.0000E+000,8.9454E-003,4.2709E-003,3.7251E-003,2.5495E-002
83,2.4740E+003,3.4640E+003,-2.9011E+000,7.8928E+001,6.2479E-003,2.6174E-001,0.0000E+000,4.0000E+000,8.9576E-003,-2.5260E-002,1.9048E-002,-2.8908E-003
84,2.4740E+003,3.4790E+003,-2.7776E+000,7.9513E+001,6.5263E-003,1.7853E-001,0.0000E+000,4.0000E+000,9.4151E-003,-2.5886E-002,2.3735E-002,-1.5050E-002
85,2.4740E+003,3.4940E+003,1.0388E+000,5.9521E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
86,2.4740E+003,3.5090E+003,-1.9887E+000,7.8387E+001,5.3565E-003,1.3777E-001,0.0000E+000,4.0000E+000,7.4161E-003,2.9260E-003,-5.5519E-002,3.6336E-003
87,2.4740E+003,3.5240E+003,-5.7896E-001,7.7891E+001,6.1721E-003,2.1656E-001,0.0000E+000,4.0000E+000,8.3958E-003,7.5153E-002,-3.2660E-002,5.1784E-002
88,2.4890E+003,3.5690E+003,6.5387E+000,7.6683E+001,5.9184E-003,1.9096E-001,0.0000E+000,4.0000E+000,8.1530E-003,-6.1451E-003,-2.5728E-002,5.0058E-003
89,2.4890E+003,3.5540E+003,4.7865E+000,7.6902E+001,6.1483E-003,1.9403E-001,0.0000E+000,4.0000E+000,8.4704E-003,-1.0129E-002,-1.6979E-003,9.9282E-003
90,2.4890E+003,3.5390E+003,2.9225E+000,7.6532E+001,5.8061E-003,2.4601E-001,0.0000E+000,4.0000E+000,8.1340E-003,2.9059E-002,-5.0747E-003,3.2608E-002
91,2.4890E+003,3.5240E+003,9.3648E-001,7.7094E+001,5.9656E-003,2.5061E-001,0.0000E+000,4.0000E+000,8.2818E-003,5.0565E-002,-2.9863E-002,3.2413E-002
92,2.4890E+003,3.5090E+003,-1.4436E+000,7.7886E+001,5.6539E-003,1.7533E-001,0.0000E+000,4.0000E+000,7.9853E-003,5.8509E-002,-4.4406E-002,1.7835E-002
93,2.4890E+003,3.4940E+003,-2.1573E+000,7.8702E+001,6.2731E-003,1.9434E-001,0.0000E+000,4.0000E+000,8.8285E-003,3.3995E-002,-3.1290E-002,-3.5156E-003
94,2.4890E+003,3.4790E+003,-2.6260E+000,7.8564E+001,6.3218E-003,2.5872E-001,0.0000E+000,4.0000E+000,9.0274E-003,-1.5460E-003,9.4491E-003,-6.6046E-003
95,2.4890E+003,3.4640E+003,-3.1533E+000,7.8453E+001,6.3568E-003,2.0566E-001,0.0000E+000,4.0000E+000,9.1242E-003,-4.8824E-003,1.1212E-002,-3.5890E-003
96,2.4890E+003,3.4490E+003,-3.8339E+000,7.8477E+001,6.4670E-003,2.1837E-001,0.0000E+000,4.0000E+000,9.1324E-003,3.9741E-003,-8.0651E-003,4.7855E-003
97,2.4890E+003,3.4340E+003,-4.7147E+000,7.8853E+001,6.7718E-003,2.6152E-001,0.0000E+000,4.0000E+000,9.3328E-003,3.2158E-002,-9.0528E-003,1.6611E-003
98,2.4890E+003,3.4190E+003,-5.4266E+000,7.8569E+001,7.3901E-003,3.7485E-001,0.0000E+000,4.0000E+000,1.0144E-002,5.0734E-002,1.4982E-002,-1.1115E-002
99,2.4890E+003,3.4040E+003,-5.6821E+000,7.8064E+001,7.3655E-003,3.4597E-001,0.0000E+000,4.0000E+000,1.0042E-002,5.3156E-002,9.3609E-003,-1.2954E-002
100,2.4890E+003,3.3890E+003,-6.4156E+000,7.8335E+001,7.2445E-003,2.7220E-001,0.0000E+000,4.0000E+000,9.9294E-003,3.2199E-002,-8.3541E-003,1.1956E-002
101,2.4890E+003,3.3740E+003,-8.0569E+000,7.8480E+001,7.0474E-003,1.9080E-001,0.0000E+000,4.0000E+000,9.5377E-003,2.7676E-002,-1.0746E-002,9.1682E-003
102,2.4890E+003,3.3590E+003,-8.4403E+000,7.8656E+001,7.0454E-003,1.5240E-001,0.0000E+000,4.0000E+000,9.6068E-003,2.0947E-002,-1.1774E-002,3.7919E-003
103,2.4890E+003,3.3440E+003,-9.3469E+000,7.8840E+001,7.2334E-003,1.8404E-001,0.0000E+000,4.0000E+000,9.7729E-003,1.1808E-002,3.0714E-003,8.1397E-003
104,2.4890E+003,3.3290E+003,-1.0352E+001,7.8661E+001,7.2510E-003,1.5800E-001,0.0000E+000,4.0000E+000,9.8109E-003,2.3153E-003,1.4401E-002,2.9294E-003
105,2.4890E+003,3.3140E+003,-1.1064E+001,7.8470E+001,7.2249E-003,1.9228E-001,0.0000E+000,4.0000E+000,9.7515E-003,-8.5772E-003,5.7561E-003,-1.1300E-002
106,2.4890E+003,3.2990E+003,-1.1193E+001,7.8508E+001,6.8820E-003,1.2714E-001,0.0000E+000,4.0000E+000,9.4558E-003,-1.3411E-002,-5.9151E-003,-1.3720E-002
107,2.4890E+003,3.2840E+003,-1.1548E+001,7.8651E+001,6.8175E-003,2.1108E-001,0.0000E+000,4.0000E+000,9.2819E-003,-1.3209E-002,2.2134E-003,-6.3863E-003
108,2.4890E+003,3.2690E+003,-1.1996E+001,7.8483E+001,6.6437E-003,1.7760E-001,0.0000E+000,4.0000E+000,9.1981E-003,-7.4234E-003,3.9866E-003,3.2787E-003
109,2.4890E+003,3.2540E+003,-1.2630E+001,7.8599E+001,6.7989E-003,1.3852E-001,0.0000E+000,4.0000E+000,9.3617E-003,-7.8571E-003,1.9123E-003,-7.2672E-003
110,2.4890E+003,3.2390E+003,-1.2704E+001,7.8431E+001,7.4660E-003,1.7412E-001,0.0000E+000,4.0000E+000,1.0495E-002,-1.0149E-002,9.7637E-003,-1.1419E-002
111,2.4890E+003,3.2240E+003,-1.3149E+001,7.8334E+001,7.0907E-003,1.6812E-001,0.0000E+000,4.0000E+000,1.0026E-002,-9.2749E-003,2.6831E-002,1.8399E-003
112,2.4890E+003,3.2090E+003,-1.3978E+001,7.7728E+001,6.7092E-003,2.9306E-001,0.0000E+000,4.0000E+000,9.7275E-003,-7.3544E-004,3.2485E-002,1.4946E-002
113,2.4890E+003,3.1940E+003,-1.4836E+001,7.7284E+001,6.3927E-003,2.2593E-001,0.0000E+000,4.0000E+000,9.2853E-003,5.8359E-004,-2.1124E-003,1.2104E-002
114,2.4890E+003,3.1790E+003,-1.5204E+001,7.7774E+001,6.4669E-003,2.3112E-001,0.0000E+000,4.0000E+000,9.1913E-003,2.6924E-004,-1.3705E-002,1.1777E-003
115,2.4890E+003,3.1640E+003,-1.5278E+001,7.7768E+001,7.0482E-003,1.7734E-001,0.0000E+000,4.0000E+000,9.9107E-003,-3.7493E-003,-1.5262E-002,-2.6960E-003
116,2.4890E+003,3.1490E+003,-1.5372E+001,7.8288E+001,7.2673E-003,1.7144E-001,0.0000E+000,4.0000E+000,1.0056E-002,-4.6153E-004,-2.0932E-002,-3.9883E-003
117,2.5040E+003,3.1190E+003,-1.5591E+001,7.7740E+001,7.2801E-003,1.9211E-001,0.0000E+000,4.0000E+000,9.9962E-003,5.9168E-003,2.8290E-002,-2.8764E-002
118,2.5040E+003,3.1340E+003,-1.5641E+001,7.7955E+001,7.6595E-003,1.4255E-001,0.0000E+000,4.0000E+000,1.0464E-002,1.3795E-003,4.2981E-003,-1.6361E-002
119,2.5040E+003,3.1490E+003,-1.5435E+001,7.7843E+001,7.2926E-003,1.4731E-001,0.0000E+000,4.0000E+000,1.0203E-002,7.6330E-003,-1.7543E-002,-7.0839E-003
120,2.5040E+003,3.1640E+003,-1.5068E+001,7.7416E+001,7.2060E-003,1.9631E-001,0.0000E+000,4.0000E+000,1.0134E-002,1.1943E-002,-1.3105E-002,-7.3370E-003
121,2.5040E+003,3.1790E+003,-1.4926E+001,7.7445E+001,6.7262E-003,2.4628E-001,0.0000E+000,4.0000E+000,9.6033E-003,1.9383E-002,-6.5904E-003,-1.6444E-003
